,Unnamed: 0,Date,Country_Region,Province_State,GDP,Urbanization,Case_Type,Cases,Difference,Prep_Flow_Runtime,Latest_Date,Lat,Long,avg_tmp,avg_RH,avg_wind,avg_precip,avg_m_tmp,avg_m_RH,avg_m_wind,avg_m_precip,max_date,growth_factor,max_cases
3941,4055,2/16/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.9263,-74.077,1.6,63.0,9.1,0.0,5.65,55.842105263157904,13.031578947368422,1.6573684210526316,3/8/2020,1.0,0.0
3942,4056,3/19/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.2589,-74.124,7.9,96.0,10.1,22.86,5.881081081081081,59.270270270270274,14.616216216216214,1.8397297297297293,3/10/2020,1.0,0.0
3943,4057,2/16/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.5726,-74.4927,0.6,68.0,2.5,0.0,5.2105263157894735,58.31578947368421,7.5578947368421066,1.5036842105263155,3/10/2020,1.0,0.0
3944,4058,2/22/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.6976,-74.2632,3.5,29.0,17.3,0.0,6.55,53.131578947368425,16.994736842105265,1.8247368421052632,3/10/2020,1.0,0.0
3945,4059,3/12/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.5726,-74.4927,6.2,79.0,4.9,1.02,5.2105263157894735,58.31578947368421,7.5578947368421066,1.5036842105263155,3/10/2020,1.0,0.0
3946,4060,3/17/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.0712,-74.8649,9.3,73.0,9.9,1.02,7.521052631578947,53.631578947368425,13.865789473684213,1.7113157894736843,3/12/2020,1.0,0.0
3947,4061,2/21/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.0712,-74.8649,-1.2,39.0,13.0,0.0,7.521052631578947,53.631578947368425,13.865789473684213,1.7113157894736843,3/12/2020,1.0,0.0
3948,4062,3/14/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.5726,-74.4927,9.4,35.0,11.9,0.0,5.2105263157894735,58.31578947368421,7.5578947368421066,1.5036842105263155,3/10/2020,1.0,0.0
3949,4063,2/21/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,39.9259,-75.1196,-1.7,38.0,15.4,0.0,6.910526315789473,54.131578947368425,15.671052631578947,1.6844736842105263,2/17/2020,1.0,0.0
3950,4064,3/5/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.5726,-74.4927,5.7,52.0,6.5,0.0,5.2105263157894735,58.31578947368421,7.5578947368421066,1.5036842105263155,3/10/2020,1.0,0.0
3951,4065,3/6/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,39.9259,-75.1196,4.0,81.0,16.0,8.89,6.910526315789473,54.131578947368425,15.671052631578947,1.6844736842105263,2/17/2020,1.0,0.0
