,Case_Type,Cases,Country_Region,Date,Difference,GDP,Lat,Latest_Date,Long,Prep_Flow_Runtime,Province_State,Unnamed: 0,Urbanization,avg_RH,avg_m_RH,avg_m_precip,avg_m_tmp,avg_m_wind,avg_precip,avg_tmp,avg_wind,growth_factor,max_cases,max_date
8363,Deaths,0,Cruise Ships,2/26/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8629,,58.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,15.0,7.9,1.0,1.0,3/22/2020
8364,Deaths,0,Cruise Ships,3/8/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8630,,68.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,11.0,8.2,1.0,1.0,3/22/2020
8365,Deaths,0,Cruise Ships,2/24/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8631,,73.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,11.6,10.8,1.0,1.0,3/22/2020
8366,Deaths,0,Cruise Ships,3/14/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8632,,79.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,11.68,10.6,15.3,1.0,1.0,3/22/2020
8367,Deaths,0,Cruise Ships,2/23/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8633,,75.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,11.9,27.0,1.0,1.0,3/22/2020
8368,Deaths,0,Cruise Ships,3/21/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8634,,69.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,12.7,8.6,1.0,1.0,3/22/2020
8369,Deaths,0,Cruise Ships,3/19/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8635,,68.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,11.8,9.6,1.0,1.0,3/22/2020
8370,Deaths,0,Cruise Ships,3/22/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8636,,70.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,13.9,9.1,1.0,1.0,3/22/2020
8371,Deaths,0,Cruise Ships,2/17/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8637,,68.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,12.5,8.6,1.0,1.0,3/22/2020
8372,Deaths,0,Cruise Ships,3/6/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8638,,71.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,12.5,16.4,1.0,1.0,3/22/2020
8373,Deaths,0,Cruise Ships,3/18/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8639,,68.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.25,10.8,13.7,1.0,1.0,3/22/2020
8374,Deaths,0,Cruise Ships,2/17/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8640,,68.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,12.5,8.6,1.0,1.0,3/22/2020
8375,Deaths,0,Cruise Ships,2/22/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8641,,70.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,12.9,20.9,1.0,1.0,3/22/2020
8376,Deaths,0,Cruise Ships,3/16/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8642,,70.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,4.06,9.3,15.4,1.0,1.0,3/22/2020
8377,Deaths,0,Cruise Ships,2/19/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8643,,71.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,11.3,11.0,1.0,1.0,3/22/2020
8378,Deaths,0,Cruise Ships,2/27/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8644,,63.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,15.5,5.0,1.0,1.0,3/22/2020
8379,Deaths,0,Cruise Ships,2/19/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8645,,71.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,11.3,11.0,1.0,1.0,3/22/2020
8380,Deaths,0,Cruise Ships,3/10/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8646,,57.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,15.7,8.3,1.0,1.0,3/22/2020
8381,Deaths,0,Cruise Ships,3/17/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8647,,72.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.25,9.5,11.6,1.0,1.0,3/22/2020
8382,Deaths,0,Cruise Ships,2/25/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8648,,50.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,15.4,7.0,1.0,1.0,3/22/2020
8383,Deaths,0,Cruise Ships,3/9/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8649,,61.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,13.4,6.2,1.0,1.0,3/22/2020
8384,Deaths,0,Cruise Ships,3/13/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8650,,70.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,12.8,20.4,1.0,1.0,3/22/2020
8385,Deaths,0,Cruise Ships,3/20/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8651,,67.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,12.4,9.1,1.0,1.0,3/22/2020
8386,Deaths,0,Cruise Ships,2/16/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8652,,79.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,11.8,25.2,1.0,1.0,3/22/2020
8387,Deaths,0,Cruise Ships,2/21/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8653,,59.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,14.5,7.9,1.0,1.0,3/22/2020
8388,Deaths,0,Cruise Ships,3/12/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8654,,75.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,12.7,14.4,1.0,1.0,3/22/2020
8389,Deaths,0,Cruise Ships,3/17/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8655,,72.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.25,9.5,11.6,1.0,1.0,3/22/2020
8390,Deaths,0,Cruise Ships,2/20/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8656,,65.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,12.9,7.0,1.0,1.0,3/22/2020
8391,Deaths,0,Cruise Ships,3/1/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8657,,54.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,11.5,19.4,1.0,1.0,3/22/2020
8392,Deaths,0,Cruise Ships,2/29/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8658,,68.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,11.1,40.7,1.0,1.0,3/22/2020
8393,Deaths,0,Cruise Ships,3/5/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8659,,74.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,13.2,10.8,1.0,1.0,3/22/2020
8394,Deaths,1,Cruise Ships,3/22/2020,1,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8660,,70.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,13.9,9.1,1.0,1.0,3/22/2020
8395,Deaths,0,Cruise Ships,3/21/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8661,,69.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,12.7,8.6,1.0,1.0,3/22/2020
8396,Deaths,0,Cruise Ships,2/15/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8662,,74.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,11.8,13.9,1.0,1.0,3/22/2020
8397,Deaths,0,Cruise Ships,3/2/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8663,,38.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,15.8,23.2,1.0,1.0,3/22/2020
8398,Deaths,0,Cruise Ships,2/14/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8664,,69.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,11.6,11.6,1.0,1.0,3/22/2020
8399,Deaths,0,Cruise Ships,3/19/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8665,,68.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,11.8,9.6,1.0,1.0,3/22/2020
8400,Deaths,0,Cruise Ships,2/15/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8666,,74.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,11.8,13.9,1.0,1.0,3/22/2020
8401,Deaths,0,Cruise Ships,2/16/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8667,,79.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,11.8,25.2,1.0,1.0,3/22/2020
8402,Deaths,0,Cruise Ships,3/18/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8668,,68.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.25,10.8,13.7,1.0,1.0,3/22/2020
8403,Deaths,0,Cruise Ships,3/7/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8669,,77.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,2.03,10.7,11.3,1.0,1.0,3/22/2020
