,Date,Country_Region,Province_State,Case_Type,Cases,Difference,Prep_Flow_Runtime,Latest_Date,Lat,Long,avg_tmp,avg_RH,avg_wind,avg_precip,avg_m_tmp,avg_m_RH,avg_m_wind,avg_m_precip,max_date,growth_factor,max_cases
94781,3/17/2020,"Gambia, The",0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,13.4432,-15.3101,30.9,30.0,8.0,0.0,30.302631578947363,42.0,6.0026315789473665,0.0,3/8/2020,0.0,0.0
94793,3/8/2020,Thailand,0,Deaths,1,0,3/23/2020 8:00:09 AM,3/22/2020,15.0,101.0,31.4,68.0,11.2,0.0,30.010526315789477,65.02631578947368,12.810526315789472,0.0,3/9/2020,1.0,1.0
94801,2/29/2020,Singapore,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,1.2833,103.8333,28.8,74.0,18.4,0.0,29.097368421052625,76.60526315789474,13.752631578947366,0.0,3/21/2020,1.189207115002721,2.0
94805,2/24/2020,Vietnam,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,16.0,108.0,23.2,73.0,5.6,0.0,25.47368421052632,79.84210526315789,8.144736842105265,0.0,2/14/2020,0.0,0.0
94809,3/12/2020,Norway,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,60.472,8.4689,-0.4,92.0,14.3,0.0,-0.942857142857143,77.25,11.053571428571427,0.0,3/20/2020,1.6265765616977856,7.0
94813,3/4/2020,Cabo Verde,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,16.5388,-23.0418,23.4,75.0,26.2,0.0,22.942857142857147,68.96428571428571,24.839285714285715,0.0,3/5/2020,0.0,0.0
94817,3/16/2020,Latvia,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,56.8796,24.6032,3.3,64.0,19.9,0.0,3.0642857142857145,78.75,13.939285714285713,0.0,3/1/2020,0.0,0.0
94821,2/17/2020,Nicaragua,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,12.8654,-85.2072,29.8,59.0,13.0,0.0,28.635714285714283,61.857142857142854,18.282142857142862,0.0,2/28/2020,0.0,0.0
94829,2/15/2020,Japan,0,Deaths,1,0,3/23/2020 8:00:09 AM,3/22/2020,36.0,138.0,7.9,64.0,4.3,0.0,6.515789473684211,58.473684210526315,14.176315789473682,0.0,3/22/2020,2.514866859365871,40.0
94837,2/24/2020,Andorra,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,42.5063,1.5218,11.3,71.0,10.0,0.0,10.481578947368424,79.02631578947368,19.378947368421063,0.0,3/22/2020,1.0,1.0
94849,2/28/2020,Algeria,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,28.0339,1.6596,21.4,19.0,19.8,0.0,20.91315789473684,19.157894736842106,20.93947368421052,0.0,3/22/2020,2.0305431848689306,17.0
94865,2/16/2020,Thailand,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,15.0,101.0,29.6,60.0,10.4,0.0,30.010526315789477,65.02631578947368,12.810526315789472,0.0,3/9/2020,1.0,1.0
94869,2/25/2020,Albania,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,41.1533,20.1683,11.2,79.0,7.1,0.0,10.455263157894738,69.8157894736842,8.418421052631581,0.0,3/20/2020,1.189207115002721,2.0
94877,2/14/2020,Cuba,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,22.0,-80.0,26.4,74.0,9.4,0.0,24.265789473684205,71.73684210526316,13.392105263157893,0.0,3/22/2020,1.0,1.0
94881,2/23/2020,Andorra,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,42.5063,1.5218,11.0,73.0,14.0,0.0,10.481578947368424,79.02631578947368,19.378947368421063,0.0,3/22/2020,1.0,1.0
94885,3/5/2020,Cote d'Ivoire,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,7.54,-5.5471,29.3,63.0,11.8,0.0,29.59473684210526,57.76315789473684,10.889473684210529,0.0,3/8/2020,0.0,0.0
94901,2/24/2020,Poland,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,51.9194,19.1451,3.6,82.0,24.4,0.0,4.853571428571428,74.25,14.55357142857143,0.0,3/22/2020,1.6265765616977856,7.0
94913,3/11/2020,Namibia,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,-22.9576,18.4904,24.3,48.0,30.4,0.0,22.33157894736842,66.36842105263158,11.28421052631579,0.0,2/21/2020,0.0,0.0
94917,2/27/2020,Estonia,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,58.5953,25.0136,-2.0,78.0,27.3,0.0,2.2107142857142863,80.03571428571429,18.16071428571428,0.0,3/7/2020,0.0,0.0
94937,2/19/2020,Singapore,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,1.2833,103.8333,29.0,75.0,18.9,0.0,29.097368421052625,76.60526315789474,13.752631578947366,0.0,3/21/2020,1.189207115002721,2.0
94941,3/9/2020,Estonia,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,58.5953,25.0136,5.5,73.0,20.4,0.0,2.2107142857142863,80.03571428571429,18.16071428571428,0.0,3/7/2020,0.0,0.0
94953,2/29/2020,Germany,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,51.0,9.0,7.5,77.0,20.1,0.0,6.2357142857142875,75.10714285714286,13.932142857142859,0.0,3/22/2020,3.11373725847777,94.0
94957,3/5/2020,Jamaica,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,18.1096,-77.2975,28.1,66.0,30.6,0.0,27.179999999999996,69.53333333333333,17.03666666666667,0.0,3/22/2020,1.0,1.0
94965,3/9/2020,Kuwait,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,29.5,47.75,22.5,40.0,14.2,0.0,19.75263157894736,51.60526315789474,15.034210526315794,0.0,2/23/2020,0.0,0.0
94977,3/14/2020,El Salvador,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,13.7942,-88.8965,28.0,68.0,9.4,0.0,29.2095238095238,55.61904761904762,12.757142857142858,0.0,3/13/2020,0.0,0.0
94981,2/27/2020,El Salvador,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,13.7942,-88.8965,29.7,51.0,15.5,0.0,29.2095238095238,55.61904761904762,12.757142857142858,0.0,3/13/2020,0.0,0.0
94985,2/26/2020,Antigua and Barbuda,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,17.0608,-61.7964,24.3,80.0,14.2,0.0,25.22105263157895,74.05263157894737,15.189473684210524,0.0,3/12/2020,0.0,0.0
95001,3/8/2020,Argentina,0,Deaths,1,1,3/23/2020 8:00:09 AM,3/22/2020,-38.4161,-63.6167,22.8,33.0,11.3,0.0,22.486842105263158,44.0,9.486842105263156,0.0,3/22/2020,1.4142135623730951,4.0
95005,3/21/2020,Turkey,0,Deaths,9,5,3/23/2020 8:00:09 AM,3/22/2020,38.9637,35.2433,2.9,78.0,5.8,0.0,4.5552631578947365,70.36842105263158,9.91842105263158,0.0,3/22/2020,2.340347319320716,30.0
95017,3/17/2020,Cameroon,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,3.8480000000000003,11.5021,25.2,86.0,5.8,0.0,26.168421052631576,79.97368421052632,7.423684210526318,0.0,2/24/2020,0.0,0.0
95021,2/16/2020,Togo,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,8.6195,0.8248,28.8,20.0,6.0,0.0,30.05526315789473,45.44736842105263,3.7447368421052634,0.0,2/20/2020,0.0,0.0
95025,2/21/2020,Bahrain,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,26.0275,50.55,19.4,75.0,19.9,0.0,21.115789473684213,67.10526315789474,16.839473684210525,0.0,3/22/2020,1.189207115002721,2.0
95029,2/22/2020,Azerbaijan,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.1431,47.5769,8.6,92.0,6.3,0.0,8.471052631578948,80.78947368421052,10.884210526315787,0.0,3/21/2020,1.0,1.0
95033,3/16/2020,Dominican Republic,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,18.7357,-70.1627,24.7,75.0,12.5,0.0,25.074193548387097,81.80645161290323,10.135483870967743,0.0,3/22/2020,1.3160740129524924,3.0
95037,2/28/2020,Cote d'Ivoire,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,7.54,-5.5471,30.8,57.0,10.1,0.0,29.59473684210526,57.76315789473684,10.889473684210529,0.0,3/8/2020,0.0,0.0
95045,2/27/2020,Saint Lucia,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,13.9094,-60.9789,25.6,74.0,10.7,0.0,25.67105263157895,76.63157894736842,15.68421052631579,0.0,3/19/2020,0.0,0.0
95057,3/21/2020,Ukraine,0,Deaths,3,0,3/23/2020 8:00:09 AM,3/22/2020,48.3794,31.1656,5.6,64.0,6.2,0.0,5.757894736842106,67.07894736842105,14.755263157894738,0.0,3/20/2020,1.3160740129524924,3.0
95061,3/12/2020,Germany,0,Deaths,3,0,3/23/2020 8:00:09 AM,3/22/2020,51.0,9.0,10.3,63.0,25.1,0.0,6.2357142857142875,75.10714285714286,13.932142857142859,0.0,3/22/2020,3.11373725847777,94.0
95065,2/17/2020,Holy See,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,41.9029,12.4534,11.3,71.0,6.5,0.0,13.644736842105264,61.76315789473684,9.971052631578948,0.0,3/7/2020,0.0,0.0
95069,2/14/2020,Seychelles,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,-4.6796,55.492,28.1,79.0,4.2,0.0,29.07368421052632,76.39473684210526,12.784210526315789,0.0,3/20/2020,0.0,0.0
95077,2/29/2020,Spain,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.0,-4.0,10.9,79.0,31.9,0.0,13.184210526315788,60.39473684210526,12.505263157894735,0.0,3/22/2020,6.48807601371149,1772.0
95081,3/21/2020,Portugal,0,Deaths,12,6,3/23/2020 8:00:09 AM,3/22/2020,39.3999,-8.2245,11.3,86.0,7.2,0.0,12.470270270270271,80.72972972972973,11.575675675675678,0.0,3/22/2020,1.9343364202676694,14.0
95093,2/19/2020,Martinique,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,14.6415,-61.0242,25.6,80.0,23.5,0.0,25.67105263157895,76.63157894736842,15.684210526315786,0.0,3/19/2020,1.0,1.0
95097,2/29/2020,Guatemala,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,15.7835,-90.2308,20.6,82.0,3.9,0.0,24.706250000000004,77.75,8.36875,0.0,3/16/2020,1.0,1.0
95109,3/9/2020,Bulgaria,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,42.7339,25.4858,6.6,99.0,10.0,0.0,8.194736842105266,73.97368421052632,11.123684210526314,0.0,3/19/2020,1.3160740129524924,3.0
95113,2/17/2020,Argentina,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,-38.4161,-63.6167,20.6,38.0,14.4,0.0,22.486842105263158,44.0,9.486842105263156,0.0,3/22/2020,1.4142135623730951,4.0
