,Unnamed: 0,Date,Country_Region,Province_State,Case_Type,Cases,Difference,Prep_Flow_Runtime,Latest_Date,Lat,Long,avg_tmp,avg_RH,avg_wind,avg_precip,avg_m_tmp,avg_m_RH,avg_m_wind,avg_m_precip,max_date,growth_factor,max_cases,GDP
1581,1581,3/18/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,30.5773,-86.6611,19.0,94,4.9,0.0,15.29473684,82.92105263,9.381578947000001,2.479736842,3/09/2020,1.0,1.0,
1582,1582,3/13/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,29.7938,-82.4944,19.2,69,2.6,0.0,16.80526316,76.94736842,9.589473684,1.029473684,3/02/2020,1.0,0.0,
1583,1583,3/09/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,29.7938,-82.4944,17.0,70,11.9,0.0,16.80526316,76.94736842,9.589473684,1.029473684,3/02/2020,1.0,0.0,
1584,1584,3/11/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,28.3232,-82.4319,18.4,74,4.2,0.0,19.07105263,69.39473684,10.16578947,0.748421053,2/25/2020,1.0,0.0,
1585,1585,2/18/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,28.3232,-82.4319,22.1,79,6.7,0.0,19.07105263,69.39473684,10.16578947,0.748421053,2/25/2020,1.0,0.0,
1586,1586,3/19/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,26.663,-81.9535,24.5,68,12.6,0.0,21.81842105,69.55263158,12.91052632,0.180263158,3/08/2020,1.0,2.0,
1587,1587,3/05/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,26.663,-81.9535,25.1,84,15.1,0.0,21.81842105,69.55263158,12.91052632,0.180263158,3/08/2020,1.0,2.0,
1588,1588,2/22/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,30.5927,-81.8224,7.8,67,16.6,0.0,17.22105263,71.55263158,11.81578947,2.933947368,3/15/2020,1.0,0.0,
1589,1589,2/15/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,30.769,-86.9824,9.1,54,7.0,0.0,16.26578947,77.47368421,11.70526316,0.367631579,3/07/2020,1.0,1.0,
1590,1590,3/22/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,27.4799,-82.3452,23.7,79,13.5,0.0,20.78157895,74.36842105,14.82631579,0.4410526320000001,3/09/2020,1.0,2.0,
1591,1591,3/17/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,26.663,-81.9535,24.7,69,10.3,0.0,21.81842105,69.55263158,12.91052632,0.180263158,3/08/2020,1.0,2.0,
1592,1592,3/18/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,29.7938,-82.4944,22.1,77,8.1,0.0,16.80526316,76.94736842,9.589473684,1.029473684,3/02/2020,1.0,0.0,
1593,1593,2/14/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,28.3232,-82.4319,20.0,84,12.9,1.78,19.07105263,69.39473684,10.16578947,0.748421053,2/25/2020,1.0,0.0,
1594,1594,2/25/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,27.8764,-82.7779,22.1,77,21.0,2.03,21.16052632,68.63157895,14.95789474,0.487894737,3/20/2020,1.0,0.0,
1595,1595,2/17/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,30.5773,-86.6611,13.0,100,6.0,0.0,15.29473684,82.92105263,9.381578947000001,2.479736842,3/09/2020,1.0,1.0,
1596,1596,3/13/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,27.8764,-82.7779,23.4,61,8.9,0.0,21.16052632,68.63157895,14.95789474,0.487894737,3/20/2020,1.0,0.0,
1597,1597,2/20/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,27.9904,-82.3018,22.7,89,6.7,0.0,19.13947368,78.10526316,6.339473684,0.0,3/08/2020,1.0,2.0,
1598,1598,2/16/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,30.769,-86.9824,11.6,94,8.7,0.0,16.26578947,77.47368421,11.70526316,0.367631579,3/07/2020,1.0,1.0,
1599,1599,3/21/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,26.8946,-81.9098,23.3,74,7.9,0.0,20.17368421,75.55263158,13.65789474,0.100263158,3/09/2020,1.0,1.0,
1600,1600,3/21/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,29.028,-81.0755,22.7,82,5.9,0.0,18.83684211,78.44736842,11.52105263,0.995789474,3/08/2020,1.0,1.0,
1601,1601,3/22/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,26.663,-81.9535,24.8,67,9.0,0.0,21.81842105,69.55263158,12.91052632,0.180263158,3/08/2020,1.0,2.0,
1602,1602,3/02/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,29.028,-81.0755,17.6,74,10.0,0.0,18.83684211,78.44736842,11.52105263,0.995789474,3/08/2020,1.0,1.0,
1603,1603,3/21/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,29.7938,-82.4944,21.9,74,6.9,0.0,16.80526316,76.94736842,9.589473684,1.029473684,3/02/2020,1.0,0.0,
1604,1604,3/04/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,26.8946,-81.9098,21.8,89,12.6,0.0,20.17368421,75.55263158,13.65789474,0.100263158,3/09/2020,1.0,1.0,
